top_left,top_right,bottom_left,colour
puzzle_0_tl,puzzle_0_tr,puzzle_0_bl,yellow
puzzle_1_tl,puzzle_1_tr,puzzle_1_bl,blue
puzzle_2_tl,puzzle_2_tr,puzzle_2_bl,green
puzzle_3_tl,puzzle_3_tr,puzzle_3_bl,cyan
puzzle_4_tl,puzzle_4_tr,puzzle_4_bl,yellow
puzzle_5_tl,puzzle_5_tr,puzzle_5_bl,red
puzzle_6_tl,puzzle_6_tr,puzzle_6_bl,red
puzzle_7_tl,puzzle_7_tr,puzzle_7_bl,cyan
puzzle_8_tl,puzzle_8_tr,puzzle_8_bl,cyan
puzzle_9_tl,puzzle_9_tr,puzzle_9_bl,blue
puzzle_10_tl,puzzle_10_tr,puzzle_10_bl,cyan
puzzle_11_tl,puzzle_11_tr,puzzle_11_bl,green
puzzle_12_tl,puzzle_12_tr,puzzle_12_bl,green
puzzle_13_tl,puzzle_13_tr,puzzle_13_bl,magenta
puzzle_14_tl,puzzle_14_tr,puzzle_14_bl,yellow
puzzle_15_tl,puzzle_15_tr,puzzle_15_bl,green
puzzle_16_tl,puzzle_16_tr,puzzle_16_bl,cyan
puzzle_17_tl,puzzle_17_tr,puzzle_17_bl,cyan
puzzle_18_tl,puzzle_18_tr,puzzle_18_bl,red
puzzle_19_tl,puzzle_19_tr,puzzle_19_bl,yellow
puzzle_20_tl,puzzle_20_tr,puzzle_20_bl,cyan
puzzle_21_tl,puzzle_21_tr,puzzle_21_bl,yellow
puzzle_22_tl,puzzle_22_tr,puzzle_22_bl,magenta
puzzle_23_tl,puzzle_23_tr,puzzle_23_bl,blue
puzzle_24_tl,puzzle_24_tr,puzzle_24_bl,green
puzzle_25_tl,puzzle_25_tr,puzzle_25_bl,red
puzzle_26_tl,puzzle_26_tr,puzzle_26_bl,yellow
puzzle_27_tl,puzzle_27_tr,puzzle_27_bl,green
puzzle_28_tl,puzzle_28_tr,puzzle_28_bl,cyan
puzzle_29_tl,puzzle_29_tr,puzzle_29_bl,green
puzzle_30_tl,puzzle_30_tr,puzzle_30_bl,cyan
puzzle_31_tl,puzzle_31_tr,puzzle_31_bl,cyan
puzzle_32_tl,puzzle_32_tr,puzzle_32_bl,red
puzzle_33_tl,puzzle_33_tr,puzzle_33_bl,green
puzzle_34_tl,puzzle_34_tr,puzzle_34_bl,green
puzzle_35_tl,puzzle_35_tr,puzzle_35_bl,yellow
puzzle_36_tl,puzzle_36_tr,puzzle_36_bl,yellow
puzzle_37_tl,puzzle_37_tr,puzzle_37_bl,red
puzzle_38_tl,puzzle_38_tr,puzzle_38_bl,green
puzzle_39_tl,puzzle_39_tr,puzzle_39_bl,red
puzzle_40_tl,puzzle_40_tr,puzzle_40_bl,green
puzzle_41_tl,puzzle_41_tr,puzzle_41_bl,cyan
puzzle_42_tl,puzzle_42_tr,puzzle_42_bl,magenta
puzzle_43_tl,puzzle_43_tr,puzzle_43_bl,yellow
puzzle_44_tl,puzzle_44_tr,puzzle_44_bl,magenta
puzzle_45_tl,puzzle_45_tr,puzzle_45_bl,cyan
puzzle_46_tl,puzzle_46_tr,puzzle_46_bl,green
