top_left,top_right,bottom_left,solution
puzzle_0_tl,puzzle_0_tr,puzzle_0_bl,blue_circle
puzzle_1_tl,puzzle_1_tr,puzzle_1_bl,green_triangle
puzzle_2_tl,puzzle_2_tr,puzzle_2_bl,yellow_triangle
puzzle_3_tl,puzzle_3_tr,puzzle_3_bl,yellow_rhombus
puzzle_4_tl,puzzle_4_tr,puzzle_4_bl,blue_circle
puzzle_5_tl,puzzle_5_tr,puzzle_5_bl,green_triangle
puzzle_6_tl,puzzle_6_tr,puzzle_6_bl,green_rhombus
puzzle_7_tl,puzzle_7_tr,puzzle_7_bl,yellow_triangle
puzzle_8_tl,puzzle_8_tr,puzzle_8_bl,blue_rhombus
puzzle_9_tl,puzzle_9_tr,puzzle_9_bl,green_square
puzzle_10_tl,puzzle_10_tr,puzzle_10_bl,red_square
puzzle_11_tl,puzzle_11_tr,puzzle_11_bl,blue_circle
puzzle_12_tl,puzzle_12_tr,puzzle_12_bl,green_rhombus
puzzle_13_tl,puzzle_13_tr,puzzle_13_bl,red_circle
puzzle_14_tl,puzzle_14_tr,puzzle_14_bl,blue_rhombus
puzzle_15_tl,puzzle_15_tr,puzzle_15_bl,red_triangle
puzzle_16_tl,puzzle_16_tr,puzzle_16_bl,yellow_rhombus
puzzle_17_tl,puzzle_17_tr,puzzle_17_bl,red_rhombus
puzzle_18_tl,puzzle_18_tr,puzzle_18_bl,yellow_triangle
puzzle_19_tl,puzzle_19_tr,puzzle_19_bl,red_square
puzzle_20_tl,puzzle_20_tr,puzzle_20_bl,yellow_rhombus
puzzle_21_tl,puzzle_21_tr,puzzle_21_bl,red_square
puzzle_22_tl,puzzle_22_tr,puzzle_22_bl,blue_triangle
puzzle_23_tl,puzzle_23_tr,puzzle_23_bl,yellow_rhombus
puzzle_24_tl,puzzle_24_tr,puzzle_24_bl,red_triangle
puzzle_25_tl,puzzle_25_tr,puzzle_25_bl,green_square
puzzle_26_tl,puzzle_26_tr,puzzle_26_bl,yellow_square
puzzle_27_tl,puzzle_27_tr,puzzle_27_bl,green_rhombus
puzzle_28_tl,puzzle_28_tr,puzzle_28_bl,green_circle
puzzle_29_tl,puzzle_29_tr,puzzle_29_bl,blue_square
puzzle_30_tl,puzzle_30_tr,puzzle_30_bl,blue_square
puzzle_31_tl,puzzle_31_tr,puzzle_31_bl,yellow_circle
puzzle_32_tl,puzzle_32_tr,puzzle_32_bl,blue_circle
puzzle_33_tl,puzzle_33_tr,puzzle_33_bl,blue_square
puzzle_34_tl,puzzle_34_tr,puzzle_34_bl,blue_triangle
puzzle_35_tl,puzzle_35_tr,puzzle_35_bl,yellow_circle
puzzle_36_tl,puzzle_36_tr,puzzle_36_bl,green_triangle
puzzle_37_tl,puzzle_37_tr,puzzle_37_bl,blue_triangle
puzzle_38_tl,puzzle_38_tr,puzzle_38_bl,green_square
puzzle_39_tl,puzzle_39_tr,puzzle_39_bl,yellow_circle
puzzle_40_tl,puzzle_40_tr,puzzle_40_bl,yellow_triangle
puzzle_41_tl,puzzle_41_tr,puzzle_41_bl,yellow_square
puzzle_42_tl,puzzle_42_tr,puzzle_42_bl,blue_rhombus
puzzle_43_tl,puzzle_43_tr,puzzle_43_bl,green_rhombus
puzzle_44_tl,puzzle_44_tr,puzzle_44_bl,green_circle
puzzle_45_tl,puzzle_45_tr,puzzle_45_bl,green_triangle
puzzle_46_tl,puzzle_46_tr,puzzle_46_bl,yellow_rhombus
puzzle_47_tl,puzzle_47_tr,puzzle_47_bl,blue_circle
puzzle_48_tl,puzzle_48_tr,puzzle_48_bl,yellow_rhombus
puzzle_49_tl,puzzle_49_tr,puzzle_49_bl,blue_square
puzzle_50_tl,puzzle_50_tr,puzzle_50_bl,green_circle
puzzle_51_tl,puzzle_51_tr,puzzle_51_bl,yellow_rhombus
puzzle_52_tl,puzzle_52_tr,puzzle_52_bl,green_square
puzzle_53_tl,puzzle_53_tr,puzzle_53_bl,yellow_square
puzzle_54_tl,puzzle_54_tr,puzzle_54_bl,green_square
puzzle_55_tl,puzzle_55_tr,puzzle_55_bl,red_square
puzzle_56_tl,puzzle_56_tr,puzzle_56_bl,red_rhombus
puzzle_57_tl,puzzle_57_tr,puzzle_57_bl,green_square
puzzle_58_tl,puzzle_58_tr,puzzle_58_bl,red_square
puzzle_59_tl,puzzle_59_tr,puzzle_59_bl,blue_triangle
puzzle_60_tl,puzzle_60_tr,puzzle_60_bl,yellow_triangle
puzzle_61_tl,puzzle_61_tr,puzzle_61_bl,yellow_circle
puzzle_62_tl,puzzle_62_tr,puzzle_62_bl,blue_triangle
puzzle_63_tl,puzzle_63_tr,puzzle_63_bl,red_rhombus
puzzle_64_tl,puzzle_64_tr,puzzle_64_bl,yellow_rhombus
puzzle_65_tl,puzzle_65_tr,puzzle_65_bl,blue_triangle
puzzle_66_tl,puzzle_66_tr,puzzle_66_bl,blue_triangle
puzzle_67_tl,puzzle_67_tr,puzzle_67_bl,yellow_rhombus
puzzle_68_tl,puzzle_68_tr,puzzle_68_bl,blue_square
puzzle_69_tl,puzzle_69_tr,puzzle_69_bl,blue_triangle
puzzle_70_tl,puzzle_70_tr,puzzle_70_bl,red_square
puzzle_71_tl,puzzle_71_tr,puzzle_71_bl,blue_triangle
puzzle_72_tl,puzzle_72_tr,puzzle_72_bl,green_circle
puzzle_73_tl,puzzle_73_tr,puzzle_73_bl,green_rhombus
puzzle_74_tl,puzzle_74_tr,puzzle_74_bl,red_circle
puzzle_75_tl,puzzle_75_tr,puzzle_75_bl,green_circle
puzzle_76_tl,puzzle_76_tr,puzzle_76_bl,green_rhombus
puzzle_77_tl,puzzle_77_tr,puzzle_77_bl,blue_square
puzzle_78_tl,puzzle_78_tr,puzzle_78_bl,green_square
puzzle_79_tl,puzzle_79_tr,puzzle_79_bl,yellow_rhombus
puzzle_80_tl,puzzle_80_tr,puzzle_80_bl,green_square
puzzle_81_tl,puzzle_81_tr,puzzle_81_bl,yellow_rhombus
puzzle_82_tl,puzzle_82_tr,puzzle_82_bl,blue_rhombus
puzzle_83_tl,puzzle_83_tr,puzzle_83_bl,green_rhombus
puzzle_84_tl,puzzle_84_tr,puzzle_84_bl,green_circle
puzzle_85_tl,puzzle_85_tr,puzzle_85_bl,blue_square
puzzle_86_tl,puzzle_86_tr,puzzle_86_bl,blue_circle
puzzle_87_tl,puzzle_87_tr,puzzle_87_bl,blue_square
puzzle_88_tl,puzzle_88_tr,puzzle_88_bl,red_rhombus
puzzle_89_tl,puzzle_89_tr,puzzle_89_bl,red_circle
puzzle_90_tl,puzzle_90_tr,puzzle_90_bl,red_triangle
puzzle_91_tl,puzzle_91_tr,puzzle_91_bl,red_triangle
puzzle_92_tl,puzzle_92_tr,puzzle_92_bl,green_triangle
puzzle_93_tl,puzzle_93_tr,puzzle_93_bl,red_square
puzzle_94_tl,puzzle_94_tr,puzzle_94_bl,blue_rhombus
puzzle_95_tl,puzzle_95_tr,puzzle_95_bl,red_rhombus
puzzle_96_tl,puzzle_96_tr,puzzle_96_bl,green_square
puzzle_97_tl,puzzle_97_tr,puzzle_97_bl,blue_square
puzzle_98_tl,puzzle_98_tr,puzzle_98_bl,red_triangle
puzzle_99_tl,puzzle_99_tr,puzzle_99_bl,blue_square
puzzle_100_tl,puzzle_100_tr,puzzle_100_bl,red_triangle
puzzle_101_tl,puzzle_101_tr,puzzle_101_bl,green_triangle
puzzle_102_tl,puzzle_102_tr,puzzle_102_bl,red_circle
puzzle_103_tl,puzzle_103_tr,puzzle_103_bl,yellow_square
puzzle_104_tl,puzzle_104_tr,puzzle_104_bl,red_triangle
puzzle_105_tl,puzzle_105_tr,puzzle_105_bl,green_circle
puzzle_106_tl,puzzle_106_tr,puzzle_106_bl,green_triangle
puzzle_107_tl,puzzle_107_tr,puzzle_107_bl,blue_square
puzzle_108_tl,puzzle_108_tr,puzzle_108_bl,blue_rhombus
puzzle_109_tl,puzzle_109_tr,puzzle_109_bl,red_rhombus
puzzle_110_tl,puzzle_110_tr,puzzle_110_bl,green_square
puzzle_111_tl,puzzle_111_tr,puzzle_111_bl,green_square
puzzle_112_tl,puzzle_112_tr,puzzle_112_bl,green_circle
puzzle_113_tl,puzzle_113_tr,puzzle_113_bl,red_triangle
puzzle_114_tl,puzzle_114_tr,puzzle_114_bl,red_triangle
puzzle_115_tl,puzzle_115_tr,puzzle_115_bl,red_triangle
puzzle_116_tl,puzzle_116_tr,puzzle_116_bl,yellow_rhombus
puzzle_117_tl,puzzle_117_tr,puzzle_117_bl,blue_rhombus
puzzle_118_tl,puzzle_118_tr,puzzle_118_bl,red_rhombus
puzzle_119_tl,puzzle_119_tr,puzzle_119_bl,blue_rhombus
puzzle_120_tl,puzzle_120_tr,puzzle_120_bl,blue_triangle
puzzle_121_tl,puzzle_121_tr,puzzle_121_bl,yellow_circle
puzzle_122_tl,puzzle_122_tr,puzzle_122_bl,blue_square
puzzle_123_tl,puzzle_123_tr,puzzle_123_bl,red_circle
puzzle_124_tl,puzzle_124_tr,puzzle_124_bl,green_rhombus
puzzle_125_tl,puzzle_125_tr,puzzle_125_bl,yellow_circle
puzzle_126_tl,puzzle_126_tr,puzzle_126_bl,red_circle
puzzle_127_tl,puzzle_127_tr,puzzle_127_bl,green_square
puzzle_128_tl,puzzle_128_tr,puzzle_128_bl,green_circle
puzzle_129_tl,puzzle_129_tr,puzzle_129_bl,red_circle
puzzle_130_tl,puzzle_130_tr,puzzle_130_bl,green_circle
puzzle_131_tl,puzzle_131_tr,puzzle_131_bl,red_square
puzzle_132_tl,puzzle_132_tr,puzzle_132_bl,red_circle
puzzle_133_tl,puzzle_133_tr,puzzle_133_bl,red_square
puzzle_134_tl,puzzle_134_tr,puzzle_134_bl,yellow_circle
puzzle_135_tl,puzzle_135_tr,puzzle_135_bl,yellow_square
puzzle_136_tl,puzzle_136_tr,puzzle_136_bl,red_triangle
puzzle_137_tl,puzzle_137_tr,puzzle_137_bl,green_rhombus
puzzle_138_tl,puzzle_138_tr,puzzle_138_bl,green_circle
puzzle_139_tl,puzzle_139_tr,puzzle_139_bl,blue_rhombus
puzzle_140_tl,puzzle_140_tr,puzzle_140_bl,blue_triangle
puzzle_141_tl,puzzle_141_tr,puzzle_141_bl,green_circle
puzzle_142_tl,puzzle_142_tr,puzzle_142_bl,green_circle
puzzle_143_tl,puzzle_143_tr,puzzle_143_bl,red_circle
puzzle_144_tl,puzzle_144_tr,puzzle_144_bl,blue_triangle
puzzle_145_tl,puzzle_145_tr,puzzle_145_bl,red_rhombus
puzzle_146_tl,puzzle_146_tr,puzzle_146_bl,green_triangle
puzzle_147_tl,puzzle_147_tr,puzzle_147_bl,yellow_square
puzzle_148_tl,puzzle_148_tr,puzzle_148_bl,red_rhombus
puzzle_149_tl,puzzle_149_tr,puzzle_149_bl,green_circle
puzzle_150_tl,puzzle_150_tr,puzzle_150_bl,blue_rhombus
puzzle_151_tl,puzzle_151_tr,puzzle_151_bl,yellow_circle
puzzle_152_tl,puzzle_152_tr,puzzle_152_bl,red_circle
puzzle_153_tl,puzzle_153_tr,puzzle_153_bl,green_rhombus
puzzle_154_tl,puzzle_154_tr,puzzle_154_bl,yellow_circle
puzzle_155_tl,puzzle_155_tr,puzzle_155_bl,green_circle
puzzle_156_tl,puzzle_156_tr,puzzle_156_bl,red_rhombus
puzzle_157_tl,puzzle_157_tr,puzzle_157_bl,blue_square
puzzle_158_tl,puzzle_158_tr,puzzle_158_bl,blue_rhombus
puzzle_159_tl,puzzle_159_tr,puzzle_159_bl,red_circle
puzzle_160_tl,puzzle_160_tr,puzzle_160_bl,red_circle
puzzle_161_tl,puzzle_161_tr,puzzle_161_bl,green_triangle
puzzle_162_tl,puzzle_162_tr,puzzle_162_bl,yellow_triangle
puzzle_163_tl,puzzle_163_tr,puzzle_163_bl,green_circle
puzzle_164_tl,puzzle_164_tr,puzzle_164_bl,red_circle
puzzle_165_tl,puzzle_165_tr,puzzle_165_bl,blue_rhombus
puzzle_166_tl,puzzle_166_tr,puzzle_166_bl,green_circle
puzzle_167_tl,puzzle_167_tr,puzzle_167_bl,red_triangle
puzzle_168_tl,puzzle_168_tr,puzzle_168_bl,yellow_rhombus
puzzle_169_tl,puzzle_169_tr,puzzle_169_bl,red_rhombus
puzzle_170_tl,puzzle_170_tr,puzzle_170_bl,green_square
puzzle_171_tl,puzzle_171_tr,puzzle_171_bl,red_rhombus
puzzle_172_tl,puzzle_172_tr,puzzle_172_bl,blue_circle
puzzle_173_tl,puzzle_173_tr,puzzle_173_bl,yellow_square
